"","Guild","Dry_2019","Wet_2018","Dry_1999","Wet_1998","wet.diff","dry.dff"
"1","Carn_Inverts",0.052934145980092,0.0402392798916694,0.0717384398101309,0.0464245399237045,-13.3232554209479,-26.2122982877911
"2","Decapods",0.4050301072349,0.279242656627679,0.529797958857868,0.299639064948932,-6.8069923808932,-23.5500815993971
"3","Detritivores",0.153907480427468,0.127310445159757,NA,NA,NA,NA
"4","Detritus",10,10,10,10,0,0
"5","Herb_Inverts",0.0892276295465916,0.0959954390863492,0.344178636894559,0.312980718021915,-69.3286411721927,-74.0751981727654
"6","Mesopredators",5.26733123067823,24.2801784417038,58.7194505758788,4.25895067207795,470.097667504974,-91.0296653340248
"7","Omni_Inverts",0.00401385417410282,0.00278053069844286,0.000282651769264865,0.000229466629170479,1111.73641173641,1320.07042253521
"8","Periphyton",89.106109375,99.9671587301587,64.2871630952381,90.6577551020408,10.268733896664,38.6063796951095
"9","Piscivores",0.294961342586303,0.240439265146553,0.0548293674344604,0.411232892470338,-41.5320929942648,437.96233002119
"10","Sm_Fishes",3.91356804777512,4.21845358030727,9.28985881051844,6.03159808739939,-30.0607646732955,-57.8726853916878
