"Year","Species","n"
2018,"ACRIPT",3
2018,"ALGBAL",16
2018,"AMENAT",6
2018,"AMENEB",1
2018,"AMICAL",5
2018,"AMPHIPOD",106
2018,"ANGROS",1
2018,"APHSAY",2
2018,"ARGSPP",1
2018,"AUTOMERIUS FABIRCUS",1
2018,"BACCAR",4
2018,"BELBEL",6
2018,"BELSPP",28
2018,"BLUE MITE",29
2018,"BRAGRA",38
2018,"BROWN MITE",5
2018,"BUG",13
2018,"CELSPP",185
2018,"CHIRON",26
2018,"CICBIM",18
2018,"CICMAN",7
2018,"CICOCE",3
2018,"CICURO",59
2018,"CIPVAR",3
2018,"CLABAT",15
2018,"CLADOCERA",29
2018,"CLAJAM",11
2018,"COENAG",146
2018,"COLEOA",106
2018,"COPEPOD",38
2018,"CORING",25
2018,"CORIXI",10
2018,"CRICKET",1
2018,"CYBSPP",2
2018,"DIPTERA",3
2018,"DIPUP",4
2018,"ELAEVE",50
2018,"ELECEL",23
2018,"ELEELO",1
2018,"EMPCUP",1
2018,"ENNGLO",47
2018,"EPHEME",100
2018,"EPISTE",2
2018,"ERISUC",14
2018,"ERYSIM",19
2018,"FLATWORM",1
2018,"FLOC",35
2018,"FUNCHR",123
2018,"FUNCON",9
2018,"Floaters",1
2018,"GAMHOL",437
2018,"GERRID",58
2018,"HAISPP",5
2018,"HEMLAT",3
2018,"HEMLET",60
2018,"HETFOR",173
2018,"HIRO",1
2018,"HOPLIT",1
2018,"JORFLO",38
2018,"LABSIC",47
2018,"LEPGUL",36
2018,"LEPMAC",30
2018,"LEPMAR",30
2018,"LEPMIC",23
2018,"LEPPLA",21
2018,"LEPPUN",13
2018,"LIBAUR",1
2018,"LIBINC",9
2018,"LONG ARMED BUG",3
2018,"LUCGOO",633
2018,"LUDREP",2
2018,"MACSIA",81
2018,"MELTUB",7
2018,"MESOVELIDAE",15
2018,"MICSAL",44
2018,"MOLLUSC",2
2018,"MONALB",14
2018,"NAIAD",1
2018,"NEMATODE",1
2018,"NOTPET",88
2018,"NOTVIR",4
2018,"NUPADV",3
2018,"NYMAQU",3
2018,"ODONATA",5
2018,"OLIGOCHAETE",1
2018,"ORANGE MITE",9
2018,"OREAUR",28
2018,"OSTRACOD",48
2018,"OSTRACOD**",7
2018,"PACLON",9
2018,"PALPAL",831
2018,"PANHEM",15
2018,"PASGEM",2
2018,"PELFEM",191
2018,"PELVIR",9
2018,"PEREPI",11
2018,"PERMAT",9
2018,"PLASCA",33
2018,"PLASPP",3
2018,"POELAT",66
2018,"POLHYD",1
2018,"POMPAL",1
2018,"PONCOR",16
2018,"POTILL",2
2018,"PROALL",32
2018,"PROFAL",27
2018,"PROSPP",19
2018,"PSEAXA",1
2018,"PSECOL",4
2018,"RANATP",1
2018,"RED MITE",2
2018,"ROUND WORM",9
2018,"RYNTRA",4
2018,"SAGLAN",17
2018,"SAWGRASS",1
2018,"SIRLAC",3
2018,"SNAIL",1
2018,"SNOOK",3
2018,"SPHAER",1
2018,"SPIDER",149
2018,"TABANI",1
2018,"TAPLOU",1
2018,"TICK MITE",2
2018,"TILMAR",19
2018,"TYPDOM",3
2018,"UN ID BUG",2
2018,"UN ID BUG EYE",1
2018,"UN ID LARVA",1
2018,"UTRFOL",14
2018,"UTRPUR",8
2018,"YELLOW MITE",1
2018,"`",1
2018,NA,1
2019,"",1
2019,"ACRIPT",2
2019,"ALGBAL",10
2019,"AMENAT",24
2019,"AMPHIPOD",28
2019,"AMPMEA",3
2019,"APHPAC",1
2019,"APHSAY",8
2019,"BACCAR",1
2019,"BELBEL",9
2019,"BELSPP",8
2019,"BIVALVE",1
2019,"BLUE MITE",17
2019,"BRAGRA",15
2019,"BROWN MITE",4
2019,"CELSPP",105
2019,"CHAOBO",1
2019,"CHIRON",20
2019,"CICMAN",1
2019,"CICURO",26
2019,"CLABAT",1
2019,"CLADOCERA",19
2019,"CLAJAM",11
2019,"COENAG",18
2019,"COLEOA",2
2019,"COPEPOD",20
2019,"CORING",1
2019,"CORIXI",23
2019,"CYBSPP",1
2019,"DIPUP",4
2019,"ELAEVE",31
2019,"ELECEL",14
2019,"ELEELO",2
2019,"EMPCUP",2
2019,"ENNGLO",39
2019,"EPHEME",19
2019,"EPISTE",2
2019,"ERISUC",11
2019,"ERYSIM",12
2019,"ESOAME",1
2019,"FLATWORM",2
2019,"FLOC",26
2019,"FUNCHR",99
2019,"FUNCON",26
2019,"FUNSPP",1
2019,"GAMHOL",327
2019,"GASTROPOD",1
2019,"GERRID",7
2019,"GRASSHOPPER",1
2019,"HEMLET",46
2019,"HETFOR",118
2019,"HOPLIT",16
2019,"HYMLAT",1
2019,"JORFLO",63
2019,"LAESPP",1
2019,"LEECHEX",1
2019,"LEPGUL",33
2019,"LEPMAC",2
2019,"LEPMAR",76
2019,"LEPMIC",6
2019,"LEPPLA",21
2019,"LEPPUN",23
2019,"LIBINC",4
2019,"LITMON",4
2019,"LUCGOO",312
2019,"MELTUB",3
2019,"MENBER",3
2019,"MICSAL",1
2019,"MICSKA",1
2019,"MOLLUSC",2
2019,"MONALB",1
2019,"NERFLO",5
2019,"NOTGYR",2
2019,"NOTPET",35
2019,"NOTVIR",5
2019,"NUPADV",3
2019,"NYMAQU",4
2019,"NYMODO",2
2019,"ORANGE MITE",7
2019,"OREAUR",1
2019,"OSTRACOD",28
2019,"PACLON",6
2019,"PALPAL",625
2019,"PANHEM",7
2019,"PANSPP",2
2019,"PASGEM",8
2019,"PELFEM",87
2019,"PELVIR",2
2019,"PEREPI",2
2019,"PERIPH",1
2019,"PERMAT",7
2019,"PLASCA",21
2019,"PLASPP",2
2019,"POELAT",55
2019,"POMBRI",1
2019,"POMPAL",3
2019,"PONCOR",8
2019,"PROALL",22
2019,"PROFAL",84
2019,"PROSPP",2
2019,"PSEAXA",2
2019,"RANATP",12
2019,"RANGRY",7
2019,"ROUND WORM",2
2019,"SAGLAN",12
2019,"SIRLAC",13
2019,"SNOOK",1
2019,"SPHAER",1
2019,"SPIDER",10
2019,"STRATI",1
2019,"TILMAR",5
2019,"TYPDOM",3
2019,"TYPHA",1
2019,"UTRFOL",10
2019,"UTRPUR",7
