"Slough","Habitat","Season","Species","2.5%","50%","97.5%"
"SRS","Marsh","Dry","ERISUC",0.004,0.095,0.834
"SRS","Marsh","Dry","ENNGLO",0.004,0.1,0.811
"SRS","Marsh","Dry","LEPMAR",0.008,0.156,0.734
"SRS","Marsh","Dry","TILMAR",0.005,0.156,0.889
"SRS","Marsh","Dry","HETFOR",0.006,0.159,0.814
"SRS","Marsh","Dry","HEMLET",0.017,0.186,0.72
"SRS","Marsh","Dry","LEPPUN",0.014,0.204,0.808
"SRS","Marsh","Dry","GAMHOL",0.025,0.213,0.785
"SRS","Marsh","Dry","HOPLIT",0.006,0.213,0.94
"SRS","Marsh","Dry","RANATP",0.006,0.214,0.949
"SRS","Marsh","Dry","JORFLO",0.009,0.237,0.918
"SRS","Marsh","Dry","CICURO",0.017,0.281,0.915
"SRS","Marsh","Dry","NOTGYR",0.011,0.284,0.948
"SRS","Marsh","Dry","NERFLO",0.022,0.32,0.934
"SRS","Marsh","Dry","NOTVIR",0.019,0.36,0.926
"SRS","Marsh","Dry","PALPAL",0.1,0.362,0.837
"SRS","Marsh","Dry","LUCGOO",0.079,0.373,0.887
"SRS","Marsh","Dry","SIRLAC",0.092,0.385,0.873
"SRS","Marsh","Dry","FUNCON",0.027,0.4,0.949
"SRS","Marsh","Dry","APHSAY",0.13,0.425,0.881
"SRS","Marsh","Dry","ELAEVE",0.088,0.449,0.921
"SRS","Marsh","Dry","BELBEL",0.077,0.456,0.936
"SRS","Marsh","Dry","PLASCA",0.033,0.539,0.978
"SRS","Marsh","Dry","PELFEM",0.307,0.636,0.959
"SRS","Marsh","Dry","PROALL",0.335,0.709,0.982
"SRS","Marsh","Dry","AMPHIPOD",0.389,0.761,0.991
"SRS","Marsh","Dry","CELSPP",0.468,0.813,0.99
"SRS","Marsh","Dry","FUNCHR",0.388,0.815,0.989
"SRS","Marsh","Dry","PERMAT",0.247,0.822,0.992
"SRS","Marsh","Dry","ERYSIM",0.278,0.843,0.995
"SRS","Marsh","Wet","CELSPP",0.002,0.044,0.48
"SRS","Marsh","Wet","JORFLO",0.002,0.064,0.788
"SRS","Marsh","Wet","ELAEVE",0.005,0.105,0.536
"SRS","Marsh","Wet","PALPAL",0.009,0.125,0.455
"SRS","Marsh","Wet","PROSPP",0.005,0.133,0.735
"SRS","Marsh","Wet","COPEPOD",0.006,0.139,0.804
"SRS","Marsh","Wet","POELAT",0.003,0.143,0.954
"SRS","Marsh","Wet","HETFOR",0.009,0.144,0.57
"SRS","Marsh","Wet","ENNGLO",0.006,0.156,0.794
"SRS","Marsh","Wet","LEPMIC",0.007,0.177,0.809
"SRS","Marsh","Wet","ERISUC",0.011,0.182,0.825
"SRS","Marsh","Wet","LUCGOO",0.035,0.227,0.61
"SRS","Marsh","Wet","AMENAT",0.015,0.23,0.752
"SRS","Marsh","Wet","LIBINC",0.021,0.23,0.842
"SRS","Marsh","Wet","BELSPP",0.026,0.244,0.692
"SRS","Marsh","Wet","CLABAT",0.014,0.244,0.705
"SRS","Marsh","Wet","LEPPUN",0.015,0.267,0.801
"SRS","Marsh","Wet","HEMLET",0.077,0.301,0.657
"SRS","Marsh","Wet","GAMHOL",0.151,0.371,0.815
"SRS","Marsh","Wet","COENAG",0.007,0.378,0.975
"SRS","Marsh","Wet","LEPMAC",0.211,0.47,0.861
"SRS","Marsh","Wet","CICURO",0.098,0.483,0.922
"SRS","Marsh","Wet","CHIRON",0.039,0.558,0.981
"SRS","Marsh","Wet","PELFEM",0.237,0.624,0.964
"SRS","Marsh","Wet","MACSIA",0.123,0.632,0.955
"SRS","Marsh","Wet","LEPMAR",0.173,0.654,0.966
"SRS","Marsh","Wet","PROFAL",0.375,0.691,0.951
"SRS","Marsh","Wet","OREAUR",0.227,0.718,0.985
"SRS","Marsh","Wet","SNOOK",0.478,0.761,0.983
"SRS","Marsh","Wet","PERMAT",0.112,0.77,0.99
"SRS","Marsh","Wet","MELTUB",0.192,0.836,0.994
"SRS","Marsh","Wet","FUNCHR",0.539,0.841,0.992
"SRS","Marsh","Wet","AMPHIPOD",0.682,0.925,0.997
"SRS","NP","Dry","ENNGLO",0.002,0.06,0.4
"SRS","NP","Dry","GAMHOL",0.004,0.073,0.237
"SRS","NP","Dry","POELAT",0.002,0.093,0.825
"SRS","NP","Dry","LUCGOO",0.011,0.119,0.277
"SRS","NP","Dry","HETFOR",0.011,0.167,0.496
"SRS","NP","Dry","LEPMAR",0.02,0.223,0.569
"SRS","NP","Dry","PALPAL",0.084,0.312,0.524
"SRS","NP","Dry","ELAEVE",0.042,0.314,0.681
"SRS","NP","Dry","FUNCHR",0.358,0.612,0.874
"SRS","NP","Dry","PROFAL",0.452,0.711,0.931
"SRS","NP","Wet","ELAEVE",0.003,0.06,0.204
"SRS","NP","Wet","HETFOR",0.004,0.077,0.287
"SRS","NP","Wet","COENAG",0.003,0.086,0.626
"SRS","NP","Wet","BELSPP",0.003,0.12,0.724
"SRS","NP","Wet","PELFEM",0.011,0.133,0.368
"SRS","NP","Wet","PALPAL",0.038,0.212,0.391
"SRS","NP","Wet","PROSPP",0.078,0.279,0.481
"SRS","NP","Wet","LUCGOO",0.074,0.338,0.614
"SRS","NP","Wet","HEMLET",0.035,0.357,0.873
"SRS","NP","Wet","GAMHOL",0.253,0.44,0.615
"SRS","NP","Wet","PROFAL",0.215,0.559,0.887
"SRS","NP","Wet","OSTRACOD",0.083,0.584,0.969
"SRS","NP","Wet","FUNCHR",0.255,0.695,0.955
"SRS","NP","Wet","SAGLAN",0.076,0.751,0.992
"SRS","Pond","Dry","POELAT",0.002,0.044,0.263
"SRS","Pond","Dry","COPEPOD",0.004,0.101,0.37
"SRS","Pond","Dry","HETFOR",0.005,0.115,0.338
"SRS","Pond","Dry","BLUE",0.008,0.13,0.44
"SRS","Pond","Dry","EPHEME",0.005,0.132,0.833
"SRS","Pond","Dry","PALPAL",0.018,0.182,0.41
"SRS","Pond","Dry","HOPLIT",0.02,0.204,0.483
"SRS","Pond","Dry","BRAGRA",0.057,0.27,0.503
"SRS","Pond","Dry","ERISUC",0.025,0.281,0.731
"SRS","Pond","Dry","LUCGOO",0.075,0.281,0.494
"SRS","Pond","Dry","JORFLO",0.084,0.306,0.549
"SRS","Pond","Dry","LEPPLA",0.064,0.315,0.602
"SRS","Pond","Dry","PLASCA",0.08,0.34,0.591
"SRS","Pond","Dry","CICURO",0.085,0.359,0.652
"SRS","Pond","Dry","ELAEVE",0.039,0.361,0.814
"SRS","Pond","Dry","SIRLAC",0.053,0.402,0.849
"SRS","Pond","Dry","LEPMAR",0.218,0.442,0.686
"SRS","Pond","Dry","CLADOCERA",0.025,0.453,0.948
"SRS","Pond","Dry","AMENAT",0.23,0.458,0.702
"SRS","Pond","Dry","LEPPUN",0.144,0.459,0.789
"SRS","Pond","Dry","RANGRY",0.081,0.486,0.925
"SRS","Pond","Dry","LEPGUL",0.292,0.521,0.787
"SRS","Pond","Dry","BELBEL",0.219,0.56,0.899
"SRS","Pond","Dry","BELSPP",0.065,0.613,0.977
"SRS","Pond","Dry","GAMHOL",0.398,0.635,0.91
"SRS","Pond","Dry","FUNCON",0.43,0.643,0.894
"SRS","Pond","Dry","LEPMIC",0.206,0.724,0.978
"SRS","Pond","Dry","ALGBAL",0.075,0.747,0.991
"SRS","Pond","Dry","AMPMEA",0.144,0.8,0.992
"SRS","Pond","Dry","PROALL",0.579,0.808,0.983
"SRS","Pond","Dry","CELSPP",0.628,0.848,0.99
"SRS","Pond","Dry","FUNCHR",0.607,0.873,0.993
"SRS","Pond","Dry","OSTRACOD",0.702,0.922,0.997
"SRS","Pond","Dry","AMPHIPOD",0.76,0.953,0.998
"SRS","Pond","Dry","PROFAL",0.818,0.956,0.998
"SRS","Pond","Wet","POELAT",0.001,0.034,0.175
"SRS","Pond","Wet","CELSPP",0.002,0.045,0.24
"SRS","Pond","Wet","BRAGRA",0.003,0.065,0.236
"SRS","Pond","Wet","COENAG",0.006,0.122,0.753
"SRS","Pond","Wet","NOTPET",0.008,0.122,0.478
"SRS","Pond","Wet","TILMAR",0.01,0.131,0.361
"SRS","Pond","Wet","HEMLET",0.018,0.155,0.345
"SRS","Pond","Wet","ACRIPT",0.008,0.166,0.824
"SRS","Pond","Wet","LEPMAR",0.014,0.181,0.448
"SRS","Pond","Wet","ERISUC",0.029,0.185,0.36
"SRS","Pond","Wet","ENNGLO",0.033,0.2,0.371
"SRS","Pond","Wet","OREAUR",0.008,0.203,0.911
"SRS","Pond","Wet","AMICAL",0.012,0.207,0.766
"SRS","Pond","Wet","PALPAL",0.008,0.207,0.894
"SRS","Pond","Wet","LEPMIC",0.041,0.219,0.416
"SRS","Pond","Wet","JORFLO",0.028,0.234,0.535
"SRS","Pond","Wet","PACLON",0.04,0.272,0.735
"SRS","Pond","Wet","MICSAL",0.043,0.277,0.536
"SRS","Pond","Wet","LEPPLA",0.058,0.284,0.549
"SRS","Pond","Wet","LUCGOO",0.124,0.298,0.475
"SRS","Pond","Wet","CORING",0.03,0.324,0.86
"SRS","Pond","Wet","LEPMAC",0.071,0.328,0.617
"SRS","Pond","Wet","LEPPUN",0.106,0.339,0.593
"SRS","Pond","Wet","HETFOR",0.032,0.381,0.893
"SRS","Pond","Wet","LEPGUL",0.199,0.385,0.58
"SRS","Pond","Wet","CLABAT",0.093,0.4,0.791
"SRS","Pond","Wet","PROSPP",0.088,0.401,0.827
"SRS","Pond","Wet","MONALB",0.101,0.458,0.889
"SRS","Pond","Wet","BELBEL",0.058,0.471,0.9
"SRS","Pond","Wet","CICURO",0.156,0.478,0.842
"SRS","Pond","Wet","LIBINC",0.144,0.506,0.904
"SRS","Pond","Wet","COPEPOD",0.229,0.508,0.839
"SRS","Pond","Wet","GAMHOL",0.356,0.525,0.735
"SRS","Pond","Wet","AMENAT",0.322,0.555,0.8
"SRS","Pond","Wet","PELFEM",0.157,0.601,0.958
"SRS","Pond","Wet","NOTVIR",0.132,0.707,0.98
"SRS","Pond","Wet","FUNCHR",0.476,0.731,0.958
"SRS","Pond","Wet","MACSIA",0.547,0.735,0.946
"SRS","Pond","Wet","PEREPI",0.28,0.75,0.983
"SRS","Pond","Wet","PROFAL",0.211,0.756,0.985
"SRS","Pond","Wet","AMPHIPOD",0.584,0.817,0.988
"SRS","Pond","Wet","ELECEL",0.185,0.827,0.995
"SRS","Pond","Wet","CLAJAM",0.146,0.83,0.995
"SRS","Pond","Wet","FUNCON",0.6,0.835,0.987
"SRS","Pond","Wet","PROALL",0.692,0.86,0.99
"TSL","Marsh","Dry","PELFEM",0.001,0.041,0.582
"TSL","Marsh","Dry","EPHEME",0.004,0.113,0.867
"TSL","Marsh","Dry","CHIRON",0.05,0.191,0.625
"TSL","Marsh","Dry","CELSPP",0.07,0.246,0.753
"TSL","Marsh","Dry","COPEPOD",0.066,0.268,0.732
"TSL","Marsh","Dry","PACLON",0.093,0.336,0.792
"TSL","Marsh","Dry","ERYSIM",0.036,0.412,0.953
"TSL","Marsh","Dry","COENAG",0.093,0.428,0.927
"TSL","Marsh","Dry","LUCGOO",0.257,0.433,0.816
"TSL","Marsh","Dry","BLUE",0.101,0.446,0.928
"TSL","Marsh","Dry","HETFOR",0.259,0.447,0.84
"TSL","Marsh","Dry","CLADOCERA",0.173,0.463,0.879
"TSL","Marsh","Dry","ENNGLO",0.257,0.464,0.884
"TSL","Marsh","Dry","GERRID",0.117,0.487,0.941
"TSL","Marsh","Dry","PALPAL",0.32,0.549,0.934
"TSL","Marsh","Dry","FUNCHR",0.307,0.627,0.958
"TSL","Marsh","Dry","GAMHOL",0.398,0.629,0.952
"TSL","Marsh","Dry","CORIXI",0.312,0.672,0.963
"TSL","Marsh","Dry","OSTRACOD",0.321,0.751,0.986
"TSL","Marsh","Dry","AMPHIPOD",0.489,0.807,0.99
"TSL","Marsh","Wet","CORIXI",0.007,0.189,0.923
"TSL","Marsh","Wet","BLUE",0.016,0.202,0.885
"TSL","Marsh","Wet","PLASCA",0.018,0.214,0.889
"TSL","Marsh","Wet","PELFEM",0.009,0.247,0.934
"TSL","Marsh","Wet","COPEPOD",0.016,0.312,0.939
"TSL","Marsh","Wet","COENAG",0.081,0.315,0.906
"TSL","Marsh","Wet","BRAGRA",0.151,0.4,0.921
"TSL","Marsh","Wet","HETFOR",0.164,0.41,0.928
"TSL","Marsh","Wet","GERRID",0.182,0.466,0.926
"TSL","Marsh","Wet","UTRFOL",0.038,0.469,0.965
"TSL","Marsh","Wet","PALPAL",0.216,0.493,0.951
"TSL","Marsh","Wet","CHIRON",0.079,0.501,0.967
"TSL","Marsh","Wet","NOTPET",0.124,0.503,0.951
"TSL","Marsh","Wet","BELSPP",0.044,0.507,0.972
"TSL","Marsh","Wet","CICBIM",0.201,0.528,0.956
"TSL","Marsh","Wet","LEPMAR",0.174,0.538,0.969
"TSL","Marsh","Wet","ENNGLO",0.229,0.551,0.949
"TSL","Marsh","Wet","LUCGOO",0.287,0.557,0.962
"TSL","Marsh","Wet","COLEOA",0.105,0.564,0.965
"TSL","Marsh","Wet","CICMAN",0.039,0.574,0.982
"TSL","Marsh","Wet","GAMHOL",0.277,0.604,0.956
"TSL","Marsh","Wet","CICURO",0.284,0.606,0.961
"TSL","Marsh","Wet","PEREPI",0.309,0.681,0.98
"TSL","Marsh","Wet","ERYSIM",0.312,0.687,0.974
"TSL","Marsh","Wet","EPHEME",0.186,0.726,0.987
"TSL","Marsh","Wet","MONALB",0.373,0.741,0.985
"TSL","Marsh","Wet","FUNCHR",0.427,0.761,0.985
"TSL","Marsh","Wet","AMPHIPOD",0.492,0.783,0.987
"TSL","Marsh","Wet","OSTRACOD",0.404,0.815,0.992
"TSL","Marsh","Wet","CELSPP",0.443,0.88,0.995
"TSL","NP","Dry","AMPHIPOD",0.063,0.17,0.257
"TSL","NP","Dry","COPEPOD",0.016,0.264,0.881
"TSL","NP","Dry","BLUE",0.058,0.316,0.596
"TSL","NP","Dry","CLADOCERA",0.152,0.721,0.984
"TSL","NP","Wet","BLUE",0.003,0.054,0.219
"TSL","NP","Wet","COPEPOD",0.004,0.078,0.242
"TSL","NP","Wet","PACLON",0.097,0.261,0.658
"TSL","NP","Wet","CLADOCERA",0.061,0.28,0.617
"TSL","NP","Wet","PELFEM",0.024,0.323,0.9
"TSL","NP","Wet","COLEOA",0.226,0.327,0.687
"TSL","NP","Wet","HETFOR",0.165,0.328,0.515
"TSL","NP","Wet","ENNGLO",0.102,0.346,0.698
"TSL","NP","Wet","BRAGRA",0.092,0.347,0.646
"TSL","NP","Wet","PLASCA",0.024,0.349,0.938
"TSL","NP","Wet","LUCGOO",0.231,0.381,0.561
"TSL","NP","Wet","COENAG",0.068,0.383,0.845
"TSL","NP","Wet","GERRID",0.116,0.387,0.726
"TSL","NP","Wet","CELSPP",0.256,0.433,0.625
"TSL","NP","Wet","AMPHIPOD",0.356,0.534,0.856
"TSL","NP","Wet","CICMAN",0.091,0.534,0.936
"TSL","NP","Wet","PALPAL",0.316,0.551,0.791
"TSL","NP","Wet","ERYSIM",0.226,0.59,0.948
"TSL","NP","Wet","ELAEVE",0.132,0.593,0.939
"TSL","NP","Wet","CICURO",0.338,0.596,0.871
"TSL","NP","Wet","LEPMAR",0.188,0.699,0.979
"TSL","NP","Wet","CORING",0.163,0.722,0.977
"TSL","NP","Wet","FUNCHR",0.363,0.787,0.984
"TSL","NP","Wet","GAMHOL",0.628,0.793,0.958
"TSL","NP","Wet","CHIRON",0.573,0.806,0.988
"TSL","NP","Wet","CICBIM",0.496,0.814,0.988
"TSL","NP","Wet","PONCOR",0.367,0.849,0.991
"TSL","NP","Wet","OSTRACOD",0.295,0.881,0.995
"TSL","Pond","Dry","COPEPOD",0.002,0.063,0.778
"TSL","Pond","Dry","CHIRON",0.01,0.157,0.843
"TSL","Pond","Dry","LUCGOO",0.12,0.265,0.687
"TSL","Pond","Dry","NOTPET",0.151,0.281,0.647
"TSL","Pond","Dry","BLUE",0.062,0.289,0.743
"TSL","Pond","Dry","PALPAL",0.197,0.347,0.732
"TSL","Pond","Dry","HETFOR",0.2,0.348,0.808
"TSL","Pond","Dry","AMPHIPOD",0.046,0.415,0.917
"TSL","Pond","Dry","GAMHOL",0.272,0.443,0.865
"TSL","Pond","Dry","MENBER",0.256,0.452,0.921
"TSL","Pond","Dry","MELTUB",0.074,0.467,0.947
"TSL","Pond","Dry","OSTRACOD",0.193,0.519,0.933
"TSL","Pond","Wet","COPEPOD",0.015,0.138,0.728
"TSL","Pond","Wet","TILMAR",0.013,0.197,0.791
"TSL","Pond","Wet","POELAT",0.007,0.2,0.92
"TSL","Pond","Wet","BRAGRA",0.018,0.312,0.901
"TSL","Pond","Wet","LEPMAC",0.126,0.323,0.771
"TSL","Pond","Wet","LUCGOO",0.151,0.323,0.834
"TSL","Pond","Wet","LABSIC",0.19,0.398,0.889
"TSL","Pond","Wet","LEPMIC",0.036,0.398,0.94
"TSL","Pond","Wet","AMPHIPOD",0.017,0.401,0.944
"TSL","Pond","Wet","NOTPET",0.234,0.467,0.886
"TSL","Pond","Wet","MICSAL",0.381,0.641,0.959
"TSL","Pond","Wet","CICURO",0.359,0.651,0.961
"TSL","Pond","Wet","GAMHOL",0.424,0.705,0.963
"TSL","Pond","Wet","MACSIA",0.471,0.713,0.973
"TSL","Pond","Wet","PALPAL",0.457,0.729,0.972
"TSL","Pond","Wet","MONALB",0.35,0.778,0.988
"TSL","Pond","Wet","HETFOR",0.463,0.789,0.987
"TSL","Pond","Wet","OSTRACOD",0.625,0.921,0.997
