"Species","[1] Pre.Invasion.AMENAT.2bf","[2] Pre.Invasion.ANISOP.2bf","[3] Pre.Invasion.BELSPP.2bf","[4] Pre.Invasion.CICURO.2bf","[5] Pre.Invasion.ERISUC.2bf","[6] Pre.Invasion.FUNCHR.2bf","[7] Pre.Invasion.GAMHOL.2bf","[8] Pre.Invasion.HETFOR.2bf","[9] Pre.Invasion.LEPMAC.2bf","[10] Pre.Invasion.LEPMIC.2bf","[11] Pre.Invasion.LEPPUN.2bf","[12] Pre.Invasion.PALPAL.2bf","[13] Pre.Invasion.POELAT.2bf","[14] Pre.Invasion.PROFAL.2bf","[15] Post.Invasion.AMENAT.2bf","[16] Post.Invasion.BELSPP.2bf","[17] Post.Invasion.ANISOP.2bf","[18] Post.Invasion.CICURO.2bf","[19] Post.Invasion.ERISUC.2bf","[20] Post.Invasion.FUNCHR.2bf","[21] Post.Invasion.GAMHOL.2bf","[22] Post.Invasion.HETFOR.2bf","[23] Post.Invasion.LEPMAC.2bf","[24] Post.Invasion.LEPMIC.2bf","[25] Post.Invasion.LEPPUN.2bf","[26] Post.Invasion.PALPAL.2bf","[27] Post.Invasion.POELAT.2bf","[28] Post.Invasion.PROFAL.2bf"
"[1] Pre.Invasion.AMENAT.2bf",0,0.001,0.001,0.106,0.028,0.695,0.646,0.871,0.268,0.273,0.714,0.037,0.093,0.004,0.676,0,0,0.044,0.08,0.244,0.03,0.049,0.449,0.158,0.412,0.001,0.035,0
"[2] Pre.Invasion.ANISOP.2bf",0.999,0,0.68,0.999,0.996,0.999,1,1,0.998,1,1,0.998,0.993,0.822,0.995,0.213,0.025,0.998,0.955,0.998,0.998,0.997,0.999,0.998,0.998,0.976,0.998,0.372
"[3] Pre.Invasion.BELSPP.2bf",0.999,0.32,0,0.995,0.99,0.999,0.999,1,0.996,0.997,0.999,0.997,0.982,0.626,0.99,0.138,0.018,0.996,0.929,0.997,0.995,0.997,0.999,0.996,0.997,0.895,0.994,0.232
"[4] Pre.Invasion.CICURO.2bf",0.894,0.001,0.005,0,0.186,0.969,0.961,0.992,0.75,0.723,0.978,0.376,0.368,0.008,0.913,0,0,0.294,0.263,0.785,0.297,0.407,0.921,0.629,0.846,0.006,0.253,0.001
"[5] Pre.Invasion.ERISUC.2bf",0.972,0.004,0.01,0.814,0,0.993,0.994,0.998,0.94,0.912,0.995,0.781,0.645,0.019,0.949,0.001,0,0.649,0.477,0.952,0.727,0.809,0.986,0.893,0.965,0.022,0.568,0.007
"[6] Pre.Invasion.FUNCHR.2bf",0.305,0.001,0.001,0.031,0.007,0,0.427,0.781,0.113,0.134,0.523,0.003,0.04,0.001,0.557,0,0,0.012,0.041,0.079,0.002,0.004,0.213,0.053,0.222,0,0.002,0
"[7] Pre.Invasion.GAMHOL.2bf",0.354,0,0.001,0.039,0.006,0.573,0,0.845,0.147,0.152,0.597,0.002,0.046,0.001,0.612,0,0,0.012,0.047,0.109,0.003,0.005,0.273,0.052,0.262,0,0.003,0
"[8] Pre.Invasion.HETFOR.2bf",0.129,0,0,0.008,0.002,0.219,0.155,0,0.031,0.057,0.215,0,0.017,0.001,0.363,0,0,0.005,0.024,0.017,0,0,0.051,0.005,0.075,0,0,0
"[9] Pre.Invasion.LEPMAC.2bf",0.732,0.002,0.004,0.25,0.06,0.887,0.853,0.969,0,0.473,0.905,0.127,0.185,0.006,0.819,0,0,0.107,0.146,0.482,0.097,0.146,0.715,0.341,0.637,0.003,0.083,0.002
"[10] Pre.Invasion.LEPMIC.2bf",0.727,0,0.003,0.277,0.088,0.866,0.848,0.943,0.527,0,0.874,0.168,0.207,0.004,0.81,0,0,0.136,0.157,0.528,0.13,0.181,0.724,0.371,0.645,0.003,0.116,0.001
"[11] Pre.Invasion.LEPPUN.2bf",0.286,0,0.001,0.022,0.005,0.477,0.403,0.785,0.095,0.126,0,0.001,0.036,0.001,0.555,0,0,0.01,0.038,0.063,0.002,0.005,0.177,0.032,0.2,0,0.003,0
"[12] Pre.Invasion.PALPAL.2bf",0.963,0.002,0.003,0.624,0.219,0.997,0.998,1,0.873,0.832,0.999,0,0.434,0.008,0.938,0,0,0.343,0.284,0.919,0.369,0.517,0.987,0.772,0.93,0.001,0.285,0.002
"[13] Pre.Invasion.POELAT.2bf",0.907,0.007,0.018,0.632,0.355,0.96,0.954,0.983,0.815,0.793,0.964,0.566,0,0.024,0.906,0.001,0,0.46,0.379,0.841,0.5,0.581,0.918,0.736,0.877,0.036,0.419,0.007
"[14] Pre.Invasion.PROFAL.2bf",0.996,0.178,0.374,0.992,0.981,0.999,0.999,0.999,0.994,0.996,0.999,0.992,0.976,0,0.99,0.065,0.004,0.991,0.911,0.997,0.992,0.993,0.998,0.996,0.996,0.863,0.99,0.14
"[15] Post.Invasion.AMENAT.2bf",0.324,0.005,0.01,0.087,0.051,0.443,0.388,0.637,0.181,0.19,0.445,0.062,0.094,0.01,0,0.003,0.001,0.065,0.076,0.158,0.055,0.07,0.252,0.114,0.259,0.015,0.058,0.003
"[16] Post.Invasion.BELSPP.2bf",1,0.787,0.862,1,0.999,1,1,1,1,1,1,1,0.999,0.935,0.997,0,0.181,0.999,0.976,1,1,1,1,1,1,0.987,1,0.661
"[17] Post.Invasion.ANISOP.2bf",1,0.975,0.982,1,1,1,1,1,1,1,1,1,1,0.996,0.999,0.819,0,1,0.992,1,1,1,1,1,1,1,1,0.916
"[18] Post.Invasion.CICURO.2bf",0.956,0.002,0.004,0.706,0.351,0.988,0.988,0.995,0.893,0.864,0.99,0.657,0.54,0.009,0.935,0.001,0,0,0.376,0.921,0.559,0.676,0.972,0.828,0.934,0.003,0.436,0.004
"[19] Post.Invasion.ERISUC.2bf",0.92,0.045,0.071,0.737,0.523,0.959,0.953,0.976,0.854,0.843,0.962,0.716,0.621,0.089,0.924,0.024,0.008,0.624,0,0.872,0.667,0.721,0.926,0.811,0.895,0.14,0.588,0.041
"[20] Post.Invasion.FUNCHR.2bf",0.756,0.002,0.003,0.215,0.048,0.921,0.891,0.983,0.518,0.472,0.937,0.081,0.159,0.003,0.842,0,0,0.079,0.128,0,0.053,0.1,0.77,0.319,0.676,0,0.068,0
"[21] Post.Invasion.GAMHOL.2bf",0.97,0.002,0.005,0.703,0.273,0.998,0.997,1,0.903,0.87,0.998,0.631,0.5,0.008,0.945,0,0,0.441,0.333,0.947,0,0.635,0.989,0.838,0.946,0.001,0.356,0.002
"[22] Post.Invasion.HETFOR.2bf",0.951,0.003,0.003,0.593,0.191,0.996,0.995,1,0.854,0.819,0.995,0.483,0.419,0.007,0.93,0,0,0.324,0.279,0.9,0.365,0,0.973,0.739,0.923,0,0.279,0.004
"[23] Post.Invasion.LEPMAC.2bf",0.551,0.001,0.001,0.079,0.014,0.787,0.727,0.949,0.285,0.276,0.823,0.013,0.082,0.002,0.748,0,0,0.028,0.074,0.23,0.011,0.027,0,0.128,0.453,0,0.016,0
"[24] Post.Invasion.LEPMIC.2bf",0.842,0.002,0.004,0.371,0.107,0.947,0.948,0.995,0.659,0.629,0.968,0.228,0.264,0.004,0.886,0,0,0.172,0.189,0.681,0.162,0.261,0.872,0,0.777,0.001,0.158,0.001
"[25] Post.Invasion.LEPPUN.2bf",0.588,0.002,0.003,0.154,0.035,0.778,0.738,0.925,0.363,0.355,0.8,0.07,0.123,0.004,0.741,0,0,0.066,0.105,0.324,0.054,0.077,0.547,0.223,0,0.002,0.051,0
"[26] Post.Invasion.PALPAL.2bf",0.999,0.024,0.105,0.994,0.978,1,1,1,0.997,0.997,1,0.999,0.964,0.137,0.985,0.013,0,0.997,0.86,1,0.999,1,1,0.999,0.998,0,0.995,0.034
"[27] Post.Invasion.POELAT.2bf",0.965,0.002,0.006,0.747,0.432,0.998,0.997,1,0.917,0.884,0.997,0.715,0.581,0.01,0.942,0,0,0.564,0.412,0.932,0.644,0.721,0.984,0.842,0.949,0.005,0,0.004
"[28] Post.Invasion.PROFAL.2bf",1,0.628,0.768,0.999,0.993,1,1,1,0.998,0.999,1,0.998,0.993,0.86,0.997,0.339,0.084,0.996,0.959,1,0.998,0.996,1,0.999,1,0.966,0.996,0
