"Invasion Status","Species","2.5%","50%","97.5%"
"Pre-Invasion","AMENAT",3.57,3.986,4.599
"Post-Invasion","AMENAT",3.198,4.171,4.914
"Pre-Invasion","ANISOP",2.307,2.593,2.926
"Post-Invasion","ANISOP",2.106,2.218,2.454
"Pre-Invasion","BELSPP",2.312,2.713,3.214
"Post-Invasion","BELSPP",2.07,2.397,2.824
"Pre-Invasion","CICURO",3.288,3.647,4.02
"Post-Invasion","CICURO",3.275,3.515,3.888
"Pre-Invasion","ERISUC",3.107,3.436,3.804
"Post-Invasion","ERISUC",2.451,3.411,4.219
"Pre-Invasion","FUNCHR",3.812,4.118,4.496
"Post-Invasion","FUNCHR",3.558,3.814,4.138
"Pre-Invasion","GAMHOL",3.804,4.081,4.392
"Post-Invasion","GAMHOL",3.373,3.538,3.774
"Pre-Invasion","HETFOR",4.037,4.277,4.559
"Post-Invasion","HETFOR",3.414,3.589,3.826
"Pre-Invasion","LEPMAC",3.459,3.834,4.252
"Post-Invasion","LEPMAC",3.708,3.957,4.231
"Pre-Invasion","LEPMIC",3.39,3.801,4.481
"Post-Invasion","LEPMIC",3.412,3.715,4.094
"Pre-Invasion","LEPPUN",3.838,4.132,4.418
"Post-Invasion","LEPPUN",3.507,3.929,4.395
"Pre-Invasion","PALPAL",3.406,3.583,3.786
"Post-Invasion","PALPAL",2.792,3.011,3.264
"Pre-Invasion","POELAT",3.011,3.543,4.169
"Post-Invasion","POELAT",3.263,3.459,3.829
"Pre-Invasion","PROFAL",2.485,2.792,3.206
"Post-Invasion","PROFAL",2.132,2.509,3.051
