"","Marsh_Dry_Post-Invasion","Marsh_Dry_Pre-Invasion","Marsh_Wet_Post-Invasion","Marsh_Wet_Pre-Invasion","Pond_Dry_Post-Invasion","Pond_Dry_Pre-Invasion","Pond_Wet_Post-Invasion","Pond_Wet_Pre-Invasion"
"A_cal2",NA,NA,NA,NA,NA,18,4,NA
"A_nat1",NA,27,NA,26,3,43,NA,22
"A_nat2",NA,NA,NA,4,4,46,NA,14
"A_nat3",NA,NA,NA,NA,6,19,NA,9
"A_nat4",NA,NA,NA,NA,8,5,NA,8
"B_bel2",NA,NA,NA,NA,NA,22,NA,19
"C_bat1",NA,NA,8,NA,NA,14,NA,17
"C_und1",NA,NA,3,NA,NA,NA,NA,NA
"C_uro1",4,NA,15,NA,NA,NA,6,6
"C_uro2",NA,NA,4,NA,NA,NA,NA,10
"C_var1",NA,5,NA,25,NA,NA,NA,NA
"E_eve1",8,24,NA,22,NA,6,7,12
"E_fus",NA,NA,NA,NA,NA,NA,NA,5
"E_glo1",5,22,NA,34,NA,NA,3,NA
"E_suc1",4,NA,3,NA,NA,NA,5,NA
"E_suc2",NA,NA,NA,NA,3,NA,NA,7
"E_suc3",NA,NA,NA,NA,NA,NA,NA,8
"F_chr1",9,50,14,49,11,8,23,16
"F_chr2",NA,18,NA,23,NA,NA,NA,5
"F_con1",NA,17,NA,27,NA,NA,NA,4
"F_con2",NA,26,NA,NA,NA,NA,NA,NA
"G_hol1",7,23,18,25,16,25,18,25
"G_hol2",5,25,18,26,27,23,21,25
"H_for1",NA,25,8,25,5,5,9,8
"H_for2",5,23,5,25,5,9,3,6
"H_let1",33,NA,24,NA,NA,NA,14,NA
"H_lit1",3,NA,NA,NA,8,NA,NA,NA
"J_flo1",NA,5,3,25,NA,NA,NA,3
"J_flo2",NA,26,NA,25,3,NA,NA,14
"L_goo1",18,41,16,51,22,NA,20,26
"L_goo2",25,38,16,35,23,NA,19,17
"L_gul1",NA,NA,NA,NA,NA,6,NA,18
"L_gul2",NA,NA,NA,NA,9,6,4,23
"L_gul3",NA,NA,NA,3,9,12,9,29
"L_gul4",NA,NA,NA,NA,4,16,3,14
"L_mac1",NA,NA,17,NA,NA,3,6,36
"L_mar1",3,57,NA,42,7,7,3,22
"L_mic1",NA,NA,3,10,NA,NA,NA,NA
"L_mic2",NA,NA,3,NA,NA,NA,4,15
"L_pla1",NA,NA,NA,NA,11,88,13,32
"L_pla2",NA,NA,NA,NA,NA,4,4,22
"L_pun1",NA,34,NA,33,NA,NA,NA,13
"L_pun2",7,31,3,18,4,42,7,10
"L_pun3",NA,NA,NA,NA,NA,16,NA,6
"L_sic1",NA,NA,NA,NA,NA,NA,NA,28
"M_sal1",NA,NA,NA,NA,NA,NA,7,22
"M_sia1",NA,NA,NA,NA,NA,NA,6,NA
"N_cry1",NA,NA,NA,NA,NA,NA,NA,4
"N_gyr1",NA,8,NA,20,NA,6,NA,3
"N_mac1",NA,NA,NA,NA,NA,NA,NA,13
"N_pet1",NA,NA,NA,NA,NA,NA,NA,26
"O_aur1",NA,NA,10,NA,NA,NA,4,NA
"P_lat1",NA,NA,NA,11,NA,NA,5,NA
"P_lat2",NA,10,NA,3,6,5,8,NA
"R_gry1",6,NA,NA,NA,NA,NA,NA,NA
"S_lac1",3,NA,NA,NA,NA,NA,NA,NA
"T_mar1",NA,NA,NA,NA,NA,NA,5,26
