"Slough","Habitat","Size Class","Wet","Dry","Dry < Wet","Percent Change"
"SRS","Marsh","C.uro1",0,0,0.76,-21.45
"SRS","Marsh","E.suc1",0.08,0.16,0.77,-47.14
"SRS","Marsh","F.chr1",0.65,0.42,0.22,53.84
"SRS","Marsh","G.hol1",0.11,0.06,0.19,86.38
"SRS","Marsh","G.hol2",0.39,0.06,0,601.34
"SRS","Marsh","H.for2",0.06,0.02,0.02,265.4
"SRS","Marsh","H.let1",0.2,0.53,1,-62.92
"SRS","Marsh","L.goo1",0.08,0.01,0,1399.67
"SRS","Marsh","L.goo2",0.18,0.15,0.21,23.06
"SRS","Marsh","L.pun2",0.51,0.44,0.3,15.64
"SRS","NP","G.hol1",0.04,0,0,5024.27
"SRS","NP","G.hol2",0.18,0.07,0.01,164.55
"SRS","NP","H.for1",0.18,0,0,49629.56
"SRS","NP","H.for2",0.11,0,0,112452.96
"SRS","Pond","F.chr1",0.45,0.71,0.92,-36.5
"SRS","Pond","G.hol1",0.33,0.64,0.97,-48.66
"SRS","Pond","G.hol2",0.36,0.96,1,-62.39
"SRS","Pond","H.for1",0.08,0.14,0.84,-37.69
"SRS","Pond","H.for2",0.1,0.03,0.06,190.05
"SRS","Pond","L.goo1",0.08,0.1,0.74,-21.31
"SRS","Pond","L.goo2",0.31,0.18,0.04,66.39
"SRS","Pond","L.gul2",1.39,0.32,0,328.36
"SRS","Pond","L.gul3",0.76,0.57,0.28,34.48
"SRS","Pond","L.gul4",0.55,0.28,0.16,94.31
"SRS","Pond","L.pla1",0.91,0.58,0.17,56.44
"SRS","Pond","L.pun2",0.47,0.28,0.28,69.03
"SRS","Pond","P.lat2",0.08,0.26,0.99,-70.97
"TSL","Marsh","F.chr1",0.66,0.46,0.32,44.16
"TSL","Marsh","H.for1",0.2,0.02,0,869.08
"TSL","Marsh","H.for2",0.14,0.15,0.47,-5.13
"TSL","Marsh","L.goo1",0.12,0,0,3230.64
"TSL","Marsh","L.goo2",0.14,0.04,0,267.54
"TSL","Pond","G.hol1",0.2,0.45,0.98,-54.87
"TSL","Pond","G.hol2",0.63,0.88,0.84,-28.22
"TSL","Pond","H.for2",0.02,0.01,0.31,62.56
"TSL","Pond","L.goo1",0.14,0.01,0,1109.92
"TSL","Pond","L.goo2",0.28,0.15,0.09,88.15
"TSL","Pond","N.pet1",0.07,0.6,1,-88.71
